Date,Temperature (°C),Humidity (%),Rainfall (mm)
2023-08-01,34.96723550595934,93.86308992217509,39.970793948448964
2023-08-02,41.33223931905198,82.91735648344506,34.73482354272134
2023-08-03,27.908710474048313,29.349701090245013,13.607256861498135
2023-08-04,28.623971984286047,89.06314119630292,29.511533343454353
2023-08-05,13.751020396892162,85.24222715465962,18.04869484700134
2023-08-06,25.659432838820912,58.912854284455406,4.579103666331708
2023-08-07,28.64160432592581,64.34565768086969,45.86567877311214
2023-08-08,18.48646762721554,49.925202790259775,6.84093154594807
2023-08-09,19.423513083228336,24.10712291165235,47.51186769104012
2023-08-10,23.204945708661793,45.13979312344257,22.300288647897787
2023-08-11,10.702491922220423,80.21400864485085,9.256646441930982
2023-08-12,21.27277079541124,20.347401725345215,27.095047368917907
2023-08-13,17.400680244879062,45.01243787683582,43.647291793820415
2023-08-14,21.462407326227012,49.86265201932075,36.61124432047806
2023-08-15,14.191674613673793,60.304670220344214,40.328057393072484
2023-08-16,41.16845482589632,88.98917123095704,32.93916833553587
2023-08-17,30.775735874391703,45.975949577447096,34.613828225892625
2023-08-18,33.76858117005713,46.021490142217075,42.459782578265965
2023-08-19,37.62099335125684,75.31259360823113,12.483400442959297
2023-08-20,27.445476962517006,53.91634556673554,24.471248182157023
2023-08-21,13.042210083059828,36.845361720498644,11.060472090980111
2023-08-22,28.79872896364917,53.932963709952006,49.38340039983235
2023-08-23,30.53943913073077,30.56427652848499,47.202966984330665
2023-08-24,36.09038159645155,33.22902398796675,1.971340568425295
2023-08-25,25.10808411803878,57.37758295546098,35.27875862578442
2023-08-26,14.46531059784473,51.41940871284109,46.26241587078329
2023-08-27,19.932156702955357,88.6134425801075,9.028767256366677
2023-08-28,22.70788037395223,47.179542433747486,28.397261527631475
2023-08-29,32.60710344660605,63.54412627085326,45.774414879402094
2023-08-30,29.977240663411916,67.41982159396477,1.697298929289942
2023-08-31,22.46338540642462,20.982084244125023,34.871013362342
2023-09-01,44.52803370775429,69.76530290125329,14.867450368627539
2023-09-02,31.20211867749105,33.352697515231355,46.21980976882652
2023-09-03,18.302937710759807,92.08027381020914,48.552912258268385
2023-09-04,13.562386541714131,31.14970458148347,47.213324455671696
2023-09-05,15.35006987145162,51.09680927952678,23.71071083287319
2023-09-06,18.608520493457785,26.40122510589829,43.10213254946567
2023-09-07,15.623848064084449,94.76556888844605,42.22746992675352
2023-09-08,16.5298458417957,57.664625774843195,15.955023662162782
2023-09-09,19.978330904284647,64.65387629900329,41.44577370753387
2023-09-10,16.06807583531642,25.03073580413206,1.850381735774631
2023-09-11,41.38678986192488,76.24703527993833,29.81349392410265
2023-09-12,12.808181098157476,35.74291948216893,11.500441864385152
2023-09-13,28.357898634958914,87.35407170805352,6.0283442888639405
2023-09-14,24.363888944638155,35.385473036150536,3.847660081460458
2023-09-15,44.383251591801226,34.30157904977499,34.81443879390699
2023-09-16,13.921361575881832,22.741225088607116,16.993748188403305
2023-09-17,23.92494596660096,55.40502088324995,36.238338576438075
2023-09-18,43.93146516463791,62.36308499469623,3.2678170399471185
2023-09-19,40.29274940628931,24.928147957126427,15.764516891530517
2023-09-20,38.59752248322479,78.1645712521258,26.974564618766863
2023-09-21,19.026598946572896,53.99666260610207,39.53615824194818
2023-09-22,15.981065558652304,59.329270199568505,15.937625146603496
2023-09-23,33.402512697355085,53.05720602036711,31.294568821850454
2023-09-24,42.528159619465505,50.05722956564945,44.29888741180935
2023-09-25,29.486701255487542,61.97302484811634,30.79315940911523
2023-09-26,30.006444131446493,31.643018444803438,11.647973737681689
2023-09-27,19.799268278109945,33.644609787145335,1.220039077826901
2023-09-28,36.93225266171779,84.63392157601379,43.50494369504649
2023-09-29,16.546531199513318,90.95865966002245,1.063470542519357
2023-09-30,21.328773274148528,47.99819872098147,43.73508363420997
2023-10-01,24.890275351574587,40.305850485766534,26.4468567013606
2023-10-02,27.766363253955927,68.29996574292619,46.95338492564481
2023-10-03,18.484340634527808,50.65506283235723,39.93916178868327
2023-10-04,14.019288865872124,21.903976674525865,49.89670552666687
2023-10-05,31.37170148545714,31.71144480246428,17.535590772585508
2023-10-06,20.10206936340895,73.69791716355482,38.35941444655634
2023-10-07,30.34333774979143,69.41929564326135,20.096545680462107
2023-10-08,15.40269503459708,22.03219943776126,23.99378101519544
2023-10-09,26.83990356491861,36.64791214497121,31.375273160918503
2023-10-10,28.640630139305504,37.33060974410536,43.68385570931694
2023-10-11,11.813823788784942,70.39195576990463,49.20417345996476
2023-10-12,21.78114973678722,21.478290331577313,38.41367069322591
2023-10-13,14.704513692864099,27.80814364884304,20.888339108366687
2023-10-14,12.218123966546871,79.9937064029892,21.06785011385351
2023-10-15,44.64860813364808,33.39084965407502,36.879115079444574
2023-10-16,21.282384574115305,68.95595808889061,11.938857288415116
2023-10-17,38.34560560491222,37.863708578504486,5.523705656569733
2023-10-18,18.912422916731735,27.458104456950885,17.731107882038827
2023-10-19,33.85259527783752,38.23791432495906,14.361949582704087
2023-10-20,36.60797509613903,74.17001988917443,14.815406022799504
2023-10-21,30.84735592127455,84.17723510797143,11.680387552495496
2023-10-22,26.505166599255542,82.26648984252438,2.104659481818094
2023-10-23,24.4144319951544,49.78876472138411,0.8936967366706905
2023-10-24,22.210389329004833,70.10638524279847,49.386119486801576
2023-10-25,42.53352004867391,35.37382215618658,21.388656686793116
2023-10-26,39.07167927257052,41.986079769575994,19.216332357984083
2023-10-27,43.77594187332794,87.22518638908399,33.982364134653494
2023-10-28,14.350402821994066,20.975144263305204,10.912694393253208
2023-10-29,35.58036163212755,26.413139814085106,47.49805919751127
2023-10-30,42.841915988736325,35.59146913595205,39.3172507207776
2023-10-31,16.343157315798106,21.98991529053648,4.470550115612975
2023-11-01,12.327369357837213,33.607657631734796,20.87903878924642
2023-11-02,35.939222725152064,63.72811707272691,43.95591537810824
2023-11-03,30.106558961296916,51.606841294437345,47.23660111457051
2023-11-04,39.46400718653952,86.95037833077312,23.370075562493486
2023-11-05,14.892033181920132,81.30826713038306,30.670569460535386
2023-11-06,37.834355915096154,45.6363013773407,8.35169730460376
2023-11-07,17.056956201671056,39.456757507346936,49.558431306848824
2023-11-08,15.727958000299658,48.47693061254502,11.58358506917217
2023-11-09,15.749302927584754,64.27212068861058,47.136588706756285
2023-11-10,38.51011520809837,40.10477306171572,32.482332449618426
2023-11-11,33.281902724367,66.81116808868505,30.386839743942957
2023-11-12,28.307289866919177,50.70587391434303,25.63442555082543
2023-11-13,22.559066944322588,61.403538563898515,11.533490585887934
2023-11-14,40.70201892845879,52.70948968514875,8.826401600275414
2023-11-15,23.73557875979224,42.084931965643825,11.024310453508768
2023-11-16,38.5809803815052,91.13399802216175,9.321913107212726
2023-11-17,25.369721799957645,77.27043456198206,38.97922367833767
2023-11-18,23.193055029871765,30.50848818248394,17.506262958336507
2023-11-19,26.193792498436224,85.13509819234346,2.8921338281698183
2023-11-20,20.548225595744974,56.55733986871353,48.45513150704057
2023-11-21,36.16632830616879,87.09141701705686,44.18929424817129
2023-11-22,27.59521365323677,79.98914419604864,46.387614159760645
2023-11-23,18.127444330138605,51.89101283519251,49.745391132321764
2023-11-24,41.4851100646099,21.685198124008807,8.694762460974365
2023-11-25,23.4361927480624,40.15080195387095,19.812100945132936
2023-11-26,29.0243501389896,60.62256609956502,37.911923785204564
2023-11-27,41.72652388375914,67.51086648696105,34.80103090268961
2023-11-28,31.84832985698972,39.34157640749017,7.694795316992753
2023-11-29,14.091431424792741,30.45170555546181,40.79165624953089
2023-11-30,42.894124326471626,82.61976775994744,11.222028591833034
2023-12-01,31.969781857499626,93.83016355276641,11.190880741131155
2023-12-02,21.721696512998015,59.42676367270144,26.84872114467068
2023-12-03,14.874522543218553,32.87594643862276,29.646996742085157
2023-12-04,37.790881624460354,40.42304948895267,29.00431039189056
2023-12-05,31.702546457497974,21.379300741060007,4.574341869887744
